tabla,campo,descripcion,unidad,tipo_pandas,nulos
rejilla,grid_id,Identificador original de celda censal española,texto,object,0
rejilla,proporcion_no_contada,Proporción no contada declarada por el censo; nula si no informada,fuente,float64,511226
rejilla,estado_observacion_poblacion,OBS_STATUS de la variable T en la fuente,código fuente,float64,511226
rejilla,superficie_terrestre_censo_km2,"LAND_SURFACE original, entre 0 y 1",km²,float64,0
rejilla,valor_especial_poblacion,SPECIAL_VALUE de T en la fuente,código fuente,float64,511226
rejilla,proporcion_localizada_aprox,"Proporción localizada aproximadamente, según fuente",fuente,int64,0
rejilla,nota_poblacion,OBS_NOTE de T en la fuente,texto,float64,511226
rejilla,proporcion_localizada_conv,"Proporción localizada convencionalmente, según fuente",fuente,int64,0
rejilla,habitada_fuente,POPULATED original; puede diferir de poblacion>0 por confidencialidad,0/1,int64,0
rejilla,mudanza_dentro_espana,"Cambio de residencia dentro de España respecto al año anterior, CHG_IN",habitantes,Int32,0
rejilla,mudanza_desde_extranjero,"Cambio de residencia desde fuera de España, CHG_OUT",habitantes,Int32,0
rejilla,ocupados,"Personas ocupadas, EMP; no es tasa de empleo",habitantes,Int32,0
rejilla,nacidos_otro_pais_ue,"Nacidos en otro país UE, EU_OTH",habitantes,Int32,0
rejilla,mujeres,"Mujeres, F",habitantes,Int32,0
rejilla,hombres,"Hombres, M",habitantes,Int32,0
rejilla,nacidos_espana,"Nacidos en España, NAT",habitantes,Int32,0
rejilla,nacidos_fuera_ue,"Nacidos fuera de la UE, OTH",habitantes,Int32,0
rejilla,misma_residencia,"Residencia igual un año antes del censo, SAME",habitantes,Int32,0
rejilla,poblacion,"Total de residentes, T",habitantes,Int32,0
rejilla,edad_15_64,"Edad 15–64, Y15-64",habitantes,Int32,0
rejilla,mayores_65,"65 años o más, Y_GE65",habitantes,Int32,0
rejilla,menores_15,"Menores de 15 años, Y_LT15",habitantes,Int32,0
rejilla,x_min_3035,Este de esquina inferior izquierda de celda EPSG:3035,m,int32,0
rejilla,y_min_3035,Norte de esquina inferior izquierda de celda EPSG:3035,m,int32,0
rejilla,lon,Longitud WGS84 del centro de celda o punto de instalación,grados,float64,0
rejilla,lat,Latitud WGS84 del centro de celda o punto de instalación,grados,float64,0
rejilla,zona,Agrupación territorial de visualización; puede faltar en instalaciones sin celda,categoría,object,0
rejilla,densidad_celda_hab_km2,Población dividida por el km² completo de la celda,hab/km²,float64,0
rejilla,densidad_tierra_hab_km2,Población / LAND_SURFACE; vacío si superficie cero,hab/km² terrestre,Float64,1426
rejilla,pct_hombres,hombres: porcentaje sobre T; vacío sin habitantes o fuera de 0–100,%,Float64,401212
rejilla,pct_mujeres,mujeres: porcentaje sobre T; vacío sin habitantes o fuera de 0–100,%,Float64,400894
