latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
68.6348,15.21585,302.26,0.39,0.44,2026-09-18,0113,N,nominal,2.0NRT,273.02,1.1,N
68.63406,15.2253,297.69,0.39,0.44,2026-09-18,0113,N,nominal,2.0NRT,273.59,1.1,N
58.52724,49.95695,298.53,0.72,0.76,2026-09-18,0113,N,nominal,2.0NRT,274.81,2.26,N
58.52198,49.94772,295.85,0.72,0.76,2026-09-18,0113,N,nominal,2.0NRT,273.04,1.29,N
6.48491,3.9994,298.83,0.4,0.37,2026-09-18,0130,N,nominal,2.0NRT,261.26,1.44,N
58.52452,49.94694,312.01,0.72,0.76,2026-09-18,0113,N,nominal,2.0NRT,273.2,3.08,N
6.01254,5.86359,325.49,0.47,0.4,2026-09-18,0130,N,nominal,2.0NRT,277.96,3.42,N
65.77071,24.19121,304.83,0.39,0.36,2026-09-18,0113,N,nominal,2.0NRT,275.94,0.82,N
5.9887,5.27633,320.07,0.44,0.39,2026-09-18,0130,N,nominal,2.0NRT,283.87,1.64,N
65.76754,24.18835,327.32,0.39,0.36,2026-09-18,0113,N,nominal,2.0NRT,278.32,3.01,N
5.5382,5.0925,321.45,0.44,0.38,2026-09-18,0130,N,nominal,2.0NRT,284.14,2.44,N
65.56371,22.22888,327.66,0.4,0.37,2026-09-18,0113,N,nominal,2.0NRT,282.54,1.55,N
5.35958,4.34427,322.54,0.41,0.37,2026-09-18,0132,N,nominal,2.0NRT,275.24,1.11,N
65.56487,22.22058,319.1,0.4,0.37,2026-09-18,0113,N,nominal,2.0NRT,280.18,3.08,N
5.36019,4.34054,297.31,0.41,0.37,2026-09-18,0132,N,nominal,2.0NRT,277.81,1.11,N
65.56162,22.21796,329.57,0.4,0.37,2026-09-18,0113,N,nominal,2.0NRT,279.36,3.08,N
65.56046,22.22628,304.74,0.4,0.37,2026-09-18,0113,N,nominal,2.0NRT,277.7,1.55,N
4.51534,7.75906,339.43,0.42,0.46,2026-09-18,0132,N,nominal,2.0NRT,272.53,6.78,N
4.51599,7.75523,303.17,0.42,0.46,2026-09-18,0132,N,nominal,2.0NRT,270.75,4.28,N
66.31386,14.16413,306.36,0.57,0.43,2026-09-18,0113,N,nominal,2.0NRT,274.99,1.1,N
4.51571,7.75622,326.49,0.42,0.46,2026-09-18,0132,N,nominal,2.0NRT,272.05,5.57,N
63.6995,22.70854,297.93,0.39,0.36,2026-09-18,0113,N,nominal,2.0NRT,280.11,0.61,N
4.51508,7.76006,338.81,0.42,0.46,2026-09-18,0132,N,nominal,2.0NRT,271.67,5.11,N
58.6158,31.23099,297.75,0.42,0.45,2026-09-18,0115,N,nominal,2.0NRT,284.41,0.75,N
2.1554,13.94741,308.19,0.61,0.71,2026-09-18,0132,N,nominal,2.0NRT,278.71,2.93,N
58.61448,31.23107,296.39,0.42,0.45,2026-09-18,0115,N,nominal,2.0NRT,284.58,0.78,N
4.59926,-2.89234,315.39,0.39,0.44,2026-09-18,0132,N,nominal,2.0NRT,290.21,1.74,N
54.21595,38.92479,306.24,0.53,0.67,2026-09-18,0115,N,nominal,2.0NRT,283.29,1.5,N
4.59519,-2.89296,320.7,0.39,0.44,2026-09-18,0132,N,nominal,2.0NRT,290.04,1.74,N
52.55686,39.61649,311.18,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,282.15,3.32,N
4.68114,-3.55932,322.4,0.44,0.46,2026-09-18,0132,N,nominal,2.0NRT,289.92,1.83,N
4.58764,-3.14307,307.25,0.41,0.45,2026-09-18,0132,N,nominal,2.0NRT,289.77,0.99,N
52.55796,39.59336,299.81,0.65,0.73,2026-09-18,0115,N,nominal,2.0NRT,282.21,1.81,N
52.54428,39.62722,300.95,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,282.32,6.67,N
4.58707,-3.13937,313.16,0.41,0.45,2026-09-18,0132,N,nominal,2.0NRT,289.6,0.99,N
52.54085,39.63572,298.58,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,280.2,3.79,N
-1.17908,8.69369,307.43,0.6,0.53,2026-09-18,0132,N,nominal,2.0NRT,288.36,2.5,N
52.53512,39.62951,338.48,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,281.05,3.79,N
-1.17992,8.69911,317.51,0.6,0.53,2026-09-18,0132,N,nominal,2.0NRT,288.41,2.5,N
52.55888,39.57069,312,0.65,0.73,2026-09-18,0115,N,nominal,2.0NRT,280.07,3.28,N
-1.57779,8.7981,315.67,0.62,0.54,2026-09-18,0132,N,nominal,2.0NRT,288.56,1.86,N
52.55561,39.5788,297.55,0.65,0.73,2026-09-18,0115,N,nominal,2.0NRT,279.26,1.81,N
-1.58276,8.79734,310.28,0.62,0.54,2026-09-18,0132,N,nominal,2.0NRT,288.2,1.86,N
52.55713,39.61108,302.62,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,281.18,1.97,N
-1.57834,8.79717,314.92,0.62,0.54,2026-09-18,0132,N,nominal,2.0NRT,288.36,2.29,N
52.54696,39.63665,307.26,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,281.93,2.02,N
-1.80177,9.80379,300.29,0.36,0.58,2026-09-18,0132,N,nominal,2.0NRT,287.28,2.58,N
52.55482,39.59629,300.66,0.65,0.73,2026-09-18,0115,N,nominal,2.0NRT,282.74,1.97,N
-1.80604,9.79611,367,0.36,0.58,2026-09-18,0132,N,high,2.0NRT,287.79,8.95,N
52.54123,39.63041,311.79,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,281.64,2.02,N
-1.80657,9.79951,321.12,0.36,0.58,2026-09-18,0132,N,nominal,2.0NRT,286.73,2.58,N
-3.28371,14.3903,296.4,0.78,0.78,2026-09-18,0132,N,nominal,2.0NRT,284.56,0.63,N
