name,kind,latitude,longitude,wind_speed_kmh,wind_gust_kmh,air_temperature_c,wind_from_degrees,u_ms,v_ms,valid_at_utc,model_run_utc,method
,grid,36.25,-6.0,31.1,55.2,21.9,80.8,-8.5345,-1.3766,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.25,-5.75,28.1,53.4,21.1,84.9,-7.7645,-0.6966,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.25,-5.5,24.3,45.8,20.3,84.0,-6.7245,-0.7066,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.5,-6.0,11.2,22.4,19.8,64.4,-2.7945,-1.3366,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.5,-5.75,8.8,17.0,17.5,62.9,-2.1645,-1.1066,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.5,-5.5,7.4,13.4,16.1,79.7,-2.0145,-0.3666,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.5,-5.25,9.8,15.6,17.3,67.5,-2.5045,-1.0366,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.5,-5.0,12.3,22.8,20.4,38.9,-2.1445,-2.6566,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.5,-4.75,13.9,17.0,21.1,31.4,-2.0045,-3.2866,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-6.25,12.6,21.0,20.7,45.6,-2.5045,-2.4566,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-6.0,9.3,10.9,20.6,40.4,-1.6745,-1.9666,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-5.75,6.2,6.2,19.7,60.8,-1.4945,-0.8366,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-5.5,7.9,6.9,17.2,98.2,-2.1745,0.3134,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-5.25,8.6,8.0,14.5,120.0,-2.0645,1.1934,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-5.0,9.1,9.8,15.3,122.6,-2.1345,1.3634,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-4.75,2.3,3.0,17.9,236.6,0.5355,0.3534,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-4.5,2.9,2.6,20.2,335.9,0.3255,-0.7266,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-4.25,9.6,9.1,19.8,356.0,0.1855,-2.6466,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-4.0,8.5,8.0,19.7,348.6,0.4655,-2.3166,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-3.75,7.2,7.3,21.7,345.6,0.4955,-1.9366,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-3.5,8.0,8.0,20.5,351.5,0.3255,-2.1866,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-3.0,7.9,7.6,22.1,34.0,-1.2245,-1.8166,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,36.75,-2.75,15.3,17.0,21.5,48.0,-3.1645,-2.8466,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-6.5,16.1,19.2,20.0,31.7,-2.3545,-3.8066,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-6.25,12.3,18.8,20.5,28.3,-1.6145,-2.9966,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-6.0,9.9,15.2,20.4,23.8,-1.1045,-2.5066,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-5.75,6.0,6.2,20.1,33.4,-0.9145,-1.3866,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-5.5,7.4,6.9,19.1,103.6,-2.0045,0.4834,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-5.25,9.3,9.4,17.4,125.5,-2.0945,1.4934,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-5.0,11.3,19.9,16.6,137.4,-2.1245,2.3134,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-4.75,7.9,9.8,16.6,149.3,-1.1245,1.8934,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-4.5,5.8,5.5,16.0,138.5,-1.0645,1.2034,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-4.25,2.8,3.3,14.8,84.3,-0.7645,-0.0766,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-4.0,3.6,3.7,14.4,59.9,-0.8745,-0.5066,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-3.75,2.8,2.6,13.9,8.6,-0.1145,-0.7566,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-3.5,4.3,4.4,12.8,43.9,-0.8345,-0.8666,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-3.25,8.2,8.0,11.4,38.2,-1.4145,-1.7966,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-3.0,10.1,9.8,14.1,34.3,-1.5845,-2.3266,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-2.75,8.3,8.4,15.1,26.0,-1.0145,-2.0766,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-2.5,11.0,12.0,19.1,12.2,-0.6445,-2.9766,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-2.25,12.4,15.9,19.4,12.5,-0.7445,-3.3566,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.0,-2.0,15.0,23.5,21.1,18.7,-1.3345,-3.9366,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.25,-7.25,9.3,9.4,20.2,337.4,0.9955,-2.3966,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.25,-7.0,12.8,13.4,20.4,7.8,-0.4845,-3.5166,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.25,-6.75,11.7,14.5,19.6,18.3,-1.0245,-3.0966,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
,grid,37.25,-6.5,11.6,14.5,20.0,20.1,-1.1045,-3.0166,2026-09-19T06:00:00Z,2026-09-19T00:00:00Z,bilinear_components_on_0.25_degree_forecast_grid
