id,name,province,lat,lon,observations,last_seen,documented,frp_peak_mw,brightness_i4_c,footprint_ha,burned_area_ha,wind_speed_kmh,wind_from_degrees,wind_gust_kmh,air_temperature_c,valid_at_utc
cc1495c06662,Igea,La Rioja,42.0756,-2.02412,15,2026-09-18T14:27:00+00:00,True,37.12,93.9,203.7,,1.9,280.9,2.7,10.8,2026-09-19T06:00:00Z
70facb46a394,Tarragona,Tarragona,41.18005,1.23057,14,2026-09-19T03:02:00+00:00,False,11.51,93.9,177.5,,8.4,334.0,8.3,19.2,2026-09-19T06:00:00Z
f278ac5bd08a,Asturias,Asturias,43.52915,-5.73408,10,2026-09-19T03:02:00+00:00,False,1.99,38.6,129.4,,4.9,147.4,5.6,12.5,2026-09-19T06:00:00Z
50b572168485,Madrid,Madrid,40.24469,-3.47544,8,2026-09-19T03:02:00+00:00,False,2.29,44.2,89.1,,9.6,48.4,10.5,17.1,2026-09-19T06:00:00Z
a9263217c6c5,Pontevedra,Pontevedra,42.43869,-8.4282,7,2026-09-19T03:02:00+00:00,False,8.57,58.8,60.9,,7.7,89.3,8.1,12.6,2026-09-19T06:00:00Z
29b8f301c4b5,Asturias,Asturias,43.54089,-5.83484,7,2026-09-19T03:02:00+00:00,False,3.25,53.6,121.3,,5.6,143.0,6.8,12.7,2026-09-19T06:00:00Z
387b6848f7e2,Badajoz,Badajoz,38.92992,-5.81134,5,2026-09-18T13:48:00+00:00,False,8.65,74.9,88.6,,8.5,110.0,10.3,18.9,2026-09-19T06:00:00Z
098ebd8457bc,Madrid,Madrid,40.29459,-4.21698,4,2026-09-19T03:02:00+00:00,False,3.49,52.8,54.3,,8.5,46.7,9.2,16.5,2026-09-19T06:00:00Z
14944b532970,Burgos,Burgos,42.22297,-3.65409,3,2026-09-18T13:48:00+00:00,False,14.03,70.1,46.4,,6.2,74.1,6.4,9.6,2026-09-19T06:00:00Z
42746725e19a,Sevilla,Sevilla,37.36608,-5.64242,3,2026-09-18T13:48:00+00:00,False,11.73,74.2,55.4,,11.1,50.0,15.8,20.5,2026-09-19T06:00:00Z
5b3874341870,Huesca,Huesca,41.92391,0.17931,3,2026-09-19T03:02:00+00:00,False,5.6,59.4,52.5,,3.5,67.9,3.7,14.9,2026-09-19T06:00:00Z
adf41c801150,Badajoz,Badajoz,38.64763,-7.25936,3,2026-09-18T14:25:00+00:00,False,3.67,61.6,46.5,,5.0,64.8,5.5,19.2,2026-09-19T06:00:00Z
b2acabd11aaa,Leon,Leon,42.36929,-5.77082,3,2026-09-19T02:41:00+00:00,False,1.54,40.7,61.0,,8.4,0.5,8.4,10.2,2026-09-19T06:00:00Z
4e7543ee9884,Leon,Leon,42.55182,-6.77031,3,2026-09-19T02:41:00+00:00,False,1.07,28.6,71.7,,1.7,96.9,3.1,10.4,2026-09-19T06:00:00Z
ea52a95eba4e,Barcelona,Barcelona,41.4562,1.97906,3,2026-09-19T02:06:00+00:00,False,1.04,28.6,55.6,,5.3,330.4,6.5,20.2,2026-09-19T06:00:00Z
f2d0186a5029,Zaragoza,Zaragoza,41.47451,-1.48809,3,2026-09-19T02:41:00+00:00,False,0.89,33.9,35.0,,3.5,97.0,3.6,11.7,2026-09-19T06:00:00Z
f7fc26fc56de,Badajoz,Badajoz,38.77632,-6.50734,2,2026-09-18T13:48:00+00:00,False,29.25,77.0,31.9,,7.0,85.9,7.5,20.0,2026-09-19T06:00:00Z
ffc5022432e4,Sevilla,Sevilla,36.97513,-6.00943,2,2026-09-18T13:01:00+00:00,False,12.12,68.6,30.4,,9.9,25.6,14.9,20.4,2026-09-19T06:00:00Z
